34,35,34,35,34,35,34,35,34,35,188,350,188,188,188,188,188,188,188,188
66,67,66,67,66,67,66,67,66,67,188,188,188,188,188,188,188,188,188,188
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
188,188,188,257,258,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188
34,35,34,35,34,35,34,35,34,35,188,188,188,188,188,188,188,188,188,188
66,67,66,67,66,67,66,67,66,67,188,188,188,188,188,409,188,188,188,188
